complex_id;stage;camera_place;lat;lon;place_type;road_type;is_settlement;lanes;intensity;intensity_min;intensity_max;intensity_avg
1001;1;г. Новочеркасск, пр. Баклановский, д. 11;47,421962;40,090409;0;3;1;2;0;0;0;0
1002;1;г. Волгодонск, ул. Весенняя/пр. Строителей;47,510724;42,187828;0;3;1;3;19000;19000;19000;19000
1003;1;г. Волгодонск, пр. Курчатова, д. 38;47,528348;42,201426;1;3;1;6;10000;10000;10000;10000
1004;1;г. Шахты, ул. Садовая, д. 17;47,703047;40,204712;1;3;1;4;0;0;0;0
1005;1;г. Волгодонск, ул. Портовая, д. 1;47,528854;42,154891;0;3;1;2;0;0;0;0
1006;1;г. Ростов-на-Дону, ул. Текучева/пер. Журавлева;47,238902;39,728779;0;3;1;2;0;0;0;0
1007;1;г. Ростов-на-Дону, Большая Садовая ул., д. 73;47,22276;39,720088;1;3;1;4;0;0;0;0
1008;1;г. Ростов-на-Дону, Комитетский пер., д. 1;47,246559;39,753068;1;3;1;2;13200;13200;13200;13200
1009;1;"ст. Романовская, подъезд от автомобильной дороги ""г. Ростов-на-Дону (от магистрали ""Дон"") - г. Семикаракорск - г. Волгодонск"" к ст. Романовская, км 1+440 (въезд в ст. Романовская по ул. Тюхова)";47,532139;42,046741;1;2;0;2;0;0;0;0
1010;1;г. Ростов-на-Дону, ул. Ларина/ул. Немировича-Данченко;47,253683;39,703964;0;3;1;2;13200-17600;13200;17600;15400
1011;1;г. Ростов-на-Дону, пр-кт Михаила Нагибина, д.12/1;47,247563;39,712987;1;3;1;6;45000;45000;45000;45000
1012;1;г. Ростов-на-Дону, пр-кт Космонавтов, д.20;47,292261;39,714249;1;3;1;8;0;0;0;0
1013;1;г. Ростов-на-Дону, пр-кт Буденновский, д. 77;47,22952;39,703284;1;3;1;6;0;0;0;0
1014;1;г. Ростов-на-Дону, пр-кт Стачки, д.217;47,212328;39,630313;1;3;1;2;0;0;0;0
1015;1;х. Вознесенский, ул. Школьная, 18;48,374479;41,932507;1;3;1;2;0;0;0;0
1016;1;город Таганрог, ул. Москатова, д. 19А;47,261155;38,914973;1;3;1;2;0;0;0;0
1017;1;г. Ростов-на-Дону, Портовая ул./Судостроительная ул.;47,192745;39,644035;0;3;1;2;5600;5600;5600;5600
1018;1;г. Ростов-на-Дону, ул. Белорусская/пер. Клязьминский;47,281923;39,738171;0;3;1;2;13200;13200;13200;13200
1019;1;г. Ростов-на-Дону, ул. Текучева/Доломановский пер.;47,23202;39,692532;0;3;1;2;5600;5600;5600;5600
1020;1;г. Ростов-на-Дону, ул. Щербакова/ул. Панфиловцев;47,277121;39,783;0;3;1;2;22400;22400;22400;22400
1021;1;а/д г. Ростов-на-Дону (от магистрали Дон) - г. Семикаракорск - г. Волгодонск, 4км+045м;47,130701;39,930368;0;2;0;2;1002;1002;1002;1002
1022;1;г. Ростов-на-Дону, пр. Михаила Нагибина, д. 33А/47;47,25713;39,716352;0;3;1;6;45000;45000;45000;45000
1023;1;г. Ростов-на-Дону, пр. Стачки, д. 229;47,212062;39,621337;1;3;1;2;0;0;0;0
1024;1;г.Шахты, Советская ул./Крестьянский пер.;47,700981;40,231782;0;3;1;2;0;0;0;0
1025;1;16км+100м а/д пос. Матвеево-Курган - с. Авило-Успенка, Матвеево-Курганский район;47,668476;38,735581;1;2;0;2;11090;11090;11090;11090
1026;1;198км+400м а/д г. Ростов-на-Дону (от магистрали Дон) - г. Семикаракорск - г. Волгодонск;47,486033;42,045678;1;2;0;4;8963;8963;8963;8963
1027;1;8 км а/д Ростов-на-Дону - сл. Родионово-Несветайская - г. Новошахтинск, Мясниковский район;47,360469;39,644918;1;2;0;2;13033;13033;13033;13033
1028;1;"923км+700м а/д М-4 ""Дон"" Москва - Воронеж - Ростов-на-Дону - Краснодар - Новороссийск";48,369099;40,338242;1;1;0;4;1468-80232;1468;80232;40850
1029;1;г. Новочеркасск, ул. Ростовский Выезд, д. 13а;47,400173;40,071793;1;3;1;2;0;0;0;0
1030;1;г. Ростов-на-Дону, пр. Сиверса, д. 14А;47,223485;39,688829;1;3;1;4;0;0;0;0
1031;1;г. Ростов-на-Дону, ул. Петренко, д. 10;47,319706;39,679002;1;3;1;2;0;0;0;0
1032;1;60км+600м а/д с. Самбек - пос. Матвеево-Курган - с. Куйбышево - г. Снежное, Куйбышевский район;47,77076;38,97354;1;2;0;2;2071;2071;2071;2071
1033;1;г. Волгодонск, пр. Курчатова, д. 9;47,517284;42,207658;1;3;1;6;0;0;0;0
1034;1;г. Волгодонск, пер. Первомайский / ул. Пионерская;47,517799;42,139197;0;3;1;2;3500-5000;3500;5000;4250
1035;1;г. Волгодонск, пр. Мира/ул. Гагарина;47,523865;42,227077;0;3;1;2;4500-7500;4500;7500;6000
1036;1;г. Волгодонск, Морская улица, д. 130Б;47,506338;42,175511;1;3;1;4;0;0;0;0
1037;1;г. Волгодонск, ул. 50 лет СССР, д. 4А;47,513005;42,154211;1;3;1;4;0;0;0;0
1038;1;г. Волгодонск, ул. Ленинградская / ул. Энтузиастов;47,528725;42,19297;0;3;1;2;0;0;0;0
1039;1;г. Таганрог, ул. 4-я Линия / пер. 7-й Новый ;47,273228;38,908132;0;3;1;2;0;0;0;0
1040;1;г. Таганрог, ул. Лизы Чайкиной, д. 328;47,256432;38,894947;1;3;1;2;0;0;0;0
1041;1;город Таганрог, ул. Чехова/ 7-й пер.;47,216443;38,903958;1;3;1;2;0;0;0;0
