complex_id;camera_place;lat;lon;Тип участка;place_type;Тип дороги;road_type;Населенный пункт;is_settlement;lanes;intensity;intensity_min;intensity_max;intensity_avg;aav_speed;aav_belts;aav_all
1006;"1100 км 470 м М-4 ""Дон"", Азовский р-н, Ростовская обл.";46.955;39.71591;линейный;1;федеральная;1;нет;0;2;1468-80232;1468;80232;40850;1275,4034;0,3116;1275,715
1063;"1091 км 675 м а/д М-4 ""Дон"", Азовский р-н, Ростовская обл.";47.030952;39.739663;линейный;1;федеральная;1;нет;0;4;1468-80232;1468;80232;40850;693,8922;0;693,8922
1096;Сиверса просп., д.2Е, (160 м. южнее), г. Ростов-На-Дону, Ростовская обл.;47.214543;39.698968;линейный;1;муниципальная;3;да;1;2;0;0;0;0;688,0948;0;688,103
1106;"292 км 126 м а/д Р-260 ""г. Волгоград - г. Каменск-Шахтинский - г.Луганск"", Белокалитвинский р-н, Ростовская обл.";48.242463;40.91621;линейный;1;региональная;2;нет;0;2;325-11522;325;11522;5924;450,139;11,07;461,209
707;ул.Таганрогская, д.191, г. Ростов-На-Дону, Ростовская обл.;47.259286;39.626696;линейный;1;муниципальная;3;да;1;2;17600;17600;17600;17600;356,5524;0;357,0854
1097;"ул.Бориса Слюсаря, д.2, (700 м. западнее, южная сторона)(""стадион Ростов-Арена""), г. Ростов-На-Дону, Ростовская обл.";47.207061;39.739843;линейный;1;муниципальная;3;да;1;2;0;0;0;0;348,2294;0;348,8854
659;"12 км 286 м а/д А-135 ""Подъездная дорога от автодороги М-4 ""Дон"" к г. Ростов-на-Дону (ЮП)"", г. Батайск, Ростовская обл.";47.12694;39.774282;линейный;1;муниципальная;3;да;1;2;21692-33112;21692;33112;27402;291,8708;0;291,8708
1072;"28 км 100 м а/д ""с. Самбек - пос. Матвеев Курган - с. Куйбышево - г. Снежное"", Неклиновский р-н, Ростовская обл.";47.544269;38.891268;линейный;1;муниципальная;3;нет;0;2;2071;2071;2071;2071;287,369;0;287,369
1017;"1059 км 900 м а/д М-4 ""Дон"", Аксайский р-н, Ростовская обл.";47.256725;39.849087;линейный;1;муниципальная;3;да;1;2;0;0;0;0;273,634;46,72975;324,07425
1048;"2 км 043 м а/д ""Магистрали ""Дон"" - х. Камышеваха - г. Ростов-на-Дону"", Аксайский р-н, Ростовская обл.";47.294882;39.830957;линейный;1;муниципальная;3;да;1;2;0;0;0;0;194,709;8,6715;154,70325
987;"М4, Пост ""Аютинский"" (994км), Красносулинский р-н, Ростовская обл.";47.76260735;40.15053391;линейный;1;федеральная;1;нет;0;4;1468-80232;1468;80232;40850;193,561;0;193,561
816;40-Летия Победы просп., д.113Б, г. Ростов-На-Дону, Ростовская обл.;47.243043;39.839585;линейный;1;муниципальная;3;да;1;4;33600;33600;33600;33600;192,167;0;192,167
1070;"65 км 410 м а/д ""ст. Егорлыкская - с. Сальск"", Сальский р-н, Ростовская обл.";46.488978;41.442304;линейный;1;муниципальная;3;нет;0;2;1224-6675;1224;6675;3950;171,0192;0;171,0192
774;Ворошиловский просп., д.2/2, (780 м. южнее, западная сторона), г. Ростов-На-Дону, Ростовская обл.;47.210688;39.723943;линейный;1;муниципальная;3;да;1;6;16800;16800;16800;16800;165,394;0;165,394
678;"31 км 450 м а/д ""с. Самбек - пос. Матвеев Курган - с. Куйбышево - г. Снежное"", Матвеево-Курганский р-н, Ростовская обл.";47.574052;38.883521;перекресток;0;муниципальная;3;нет;0;2;2071;2071;2071;2071;159,8344;0;159,8344
1004;"1047 км 380 м а/д М-4 ""Дон"", Аксайский р-н, Ростовская обл.";47.35763;39.88336;линейный;1;муниципальная;3;нет;0;4;0;0;0;0;148,3175;0,82;148,5225
