,Участок,Пара,День недели,Час,Среднее время проезда (в секундах),Средняя скорость на въезде,Средняя скорость на участке,Средняя скорость на выезде,Геометрия
0,AZ350025 - AZ350037,1,Воскресенье,0,310.2745098039216,81.70117643767712,83.62209138059927,85.54313709533292,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
1,AZ350025 - AZ350037,1,Воскресенье,1,301.6153846153846,83.54201966065627,85.83490371704102,88.12711517627423,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
2,AZ350025 - AZ350037,1,Воскресенье,2,299.54,82.7390000152588,86.15580013275147,89.57289978027343,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
3,AZ350025 - AZ350037,1,Воскресенье,3,297.0365853658536,80.47280520927615,84.18634126244521,87.89902449817193,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
4,AZ350025 - AZ350037,1,Воскресенье,4,295.22689075630245,80.21848739495799,84.81109228054015,89.40235311043362,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
5,AZ350025 - AZ350037,1,Воскресенье,5,287.75182481751824,83.07146019483135,86.58795628234418,90.10452565659573,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
6,AZ350025 - AZ350037,1,Воскресенье,6,298.872037914692,81.3988626489142,84.79668258377725,88.19473935529518,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
7,AZ350025 - AZ350037,1,Воскресенье,7,300.7150537634409,82.43454305587277,85.04002676727951,87.64577967120755,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
8,AZ350025 - AZ350037,1,Воскресенье,8,293.12660550458713,84.55873396287271,86.21084394542449,87.8632476876635,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
9,AZ350025 - AZ350037,1,Воскресенье,9,293.5617198335645,85.37399451246539,86.79410523349799,88.21443818048697,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
