"Участок","Комплекс_начало","Комплекс_конец","Пара","День недели","Час","Среднее время проезда (в секундах)","Средняя скорость на въезде","Средняя скорость на участке","Средняя скорость на выезде","geom","complex_point_start","complex_point_end"
AZ350025 - AZ350037,AZ350025,AZ350037,1,Воскресенье,13,304,"82,65902657","90,67529649","84,53733494","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Суббота,3,297,"85,83115377","93,05306484","84,10461538","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Воскресенье,12,299,"83,23194805","92,11028238","86,1052665","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Воскресенье,1,302,"83,54201966","92,06872272","88,12711518","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Суббота,10,305,"84,1958597","90,6009221","85,9988253","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Понедельник,3,302,"81,02887679","92,03533421","90,07977526","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Понедельник,7,304,"82,2874761","90,56214289","86,73089473","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Воскресенье,14,304,"82,64548119","90,55976379","84,61384942","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
AZ350037 - AZ350025,AZ350037,AZ350025,1,Воскресенье,2,302,"84,56253319","92,00125936","85,12826681","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.356222669524676 58.565119148341296),POINT (40.32792 58.631248)
AZ350025 - AZ350037,AZ350025,AZ350037,1,Суббота,11,304,"82,57900275","90,52813497","84,94418037","LINESTRING (40.32783416931156 58.631253595012836, 40.32879976455692 58.62906586964605, 40.330516378326436 58.625120902217674, 40.33254412834166 58.62057664101304, 40.334582607192985 58.61603178664221, 40.33630994979853 58.61216371553341, 40.338804599840515 58.60658652001726, 40.34166919906836 58.60012468096114, 40.34407245834572 58.594737032594715, 40.3461216660331 58.590127187904955, 40.34849273880222 58.584760403944934, 40.35046684463718 58.58008200082576, 40.35304176529143 58.5739851277472, 40.35435068329071 58.57048791078226, 40.356281873781434 58.56517416020292)",POINT (40.32792 58.631248),POINT (40.356222669524676 58.565119148341296)
